,query_id,device_classification_name,approval_number,device_name,applicant_name,applicant_contact,correspondent_name,regulation_number,classification_product_code,date_received,decision_date,decision,regulation_medical_specialty,review_panel,summary_link,type,reviewed_by_third_party,combination_product
8079,K212071,"stimulator, nerve, electrical, transcutaneous, for migraine",k212071,"cefaly dual enhanced with rfid - otc, cefaly dual enhanced with rfid - rx, cefaly dual connected - otc, cefaly dual connected - rx",rufus kay moberly,rufus kay moberly,parul  chansoria,882.5891,pcc,07/02/2021,12/13/2022,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k212071.pdf,traditional,no,no
8080,K211679,"dilator, vessel, for percutaneous catheterization",k211679,xtractor device,benny  rousso,benny  rousso,orly  maor,870.1310,dre,06/01/2021,02/17/2022,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211679.pdf,traditional,no,no
8081,K200644,"system, imaging, pulsed doppler, ultrasonic",k200644,acuson freestyle diagnostic ultrasound system,shruti  arora,shruti  arora,shruti  arora,892.1550,iyn,03/11/2020,04/10/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k200644.pdf,special,no,no
8082,K213765,"resin, denture, relining, repairing, rebasing",k213765,glidewell 3dp denture base resin,jiahe  li,jiahe  li,jiahe  li,872.3760,ebi,12/01/2021,06/22/2022,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213765.pdf,traditional,no,no
8083,K200533,nucleic acid detection system for non-viral microorganism(s) causing sexually transmitted infections,k200533,binx io ct/ng assay and binx io ct/ng system,sarah  kalil,sarah  kalil,sarah  kalil,866.3393,qep,03/02/2020,04/27/2020,substantially equivalent     (sese),microbiology,microbiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k200533.pdf,traditional,no,no
8084,K192277,"system, tomography, computed, emission",k192277,cardiq flow,elizabeth  mathew,elizabeth  mathew,elizabeth  mathew,892.1200,kps,08/22/2019,02/14/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192277.pdf,traditional,no,no
8085,K223556,automated radiological image processing software,k223556,deepcatch,jun-sik  yoon,jun-sik  yoon,jong hyun  kim,892.2050,qih,11/28/2022,06/16/2023,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k223556.pdf,traditional,no,no
8086,K211616,orthopedic stereotaxic instrument,k211616,excelsiushub,kelly  baker,kelly  baker,kelly  baker,882.4560,olo,05/26/2021,08/25/2021,substantially equivalent     (sese),neurology,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211616.pdf,traditional,no,no
8087,K222977,"accelerator, linear, medical",k222977,"dsps-prominent™ masks; dsps-prominent™ baseplate, mr; couchstrip",elizabeth  hajos,elizabeth  hajos,elizabeth  hajos,892.5050,iye,09/28/2022,02/17/2023,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222977.pdf,traditional,no,no
8088,K220471,"activator, ultraviolet, for polymerization",k220471,"valo x, valo x accessory lenses",adam  black,adam  black,dave  yungvirt,872.6070,ebz,02/18/2022,02/22/2022,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220471.pdf,traditional,yes,no
8089,K182400,"wheelchair, powered",k182400,"solax powered wheelchair (models: s7101, s7103)",zhang  zhao,zhang  zhao,cassie  lee,890.3860,iti,09/04/2018,04/14/2020,substantially equivalent     (sese),physical medicine,physical medicine,,traditional,no,no
8090,K181685,"system, imaging, pulsed doppler, ultrasonic",k181685,"vivid e80, vivid e90, vivid e95",tracey  ortiz,tracey  ortiz,tracey  ortiz,892.1550,iyn,06/26/2018,10/25/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181685.pdf,traditional,no,no
8091,K200189,"abutment, implant, dental, endosseous",k200189,luna dental implant system- healing abutment,jae soo song,jae soo song,priscilla  chung,872.3630,nha,01/27/2020,02/26/2020,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k200189.pdf,special,no,no
8092,K190105,"apparatus, suction, ward use, portable, ac-powered",k190105,zoom aspiration pump,monoj mon kalita,monoj mon kalita,monoj mon kalita,878.4780,jcx,01/22/2019,02/21/2019,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190105.pdf,special,no,no
8093,K192079,"system, x-ray, stationary",k192079,eosedge,bernard  ismael,bernard  ismael,bernard  ismael,892.1680,kpr,08/02/2019,11/27/2019,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192079.pdf,traditional,no,no
8094,K190953,"plate, fixation, bone",k190953,arthrex minimally invasive ankle fusion plate,caroline  bloemker,caroline  bloemker,caroline  bloemker,888.3030,hrs,04/11/2019,10/16/2019,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190953.pdf,traditional,no,no
8095,K181576,"x-ray, tomography, computed, dental",k181576,planmeca viso,lars  moring,lars  moring,lars  moring,892.1750,oas,06/15/2018,09/13/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181576.pdf,traditional,no,no
8096,K173730,"thermometer, electronic, clinical",k173730,kinsa quickcare thermometer,david  gal,david  gal,dave  yungvirt,880.2910,fll,12/06/2017,01/17/2018,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173730.pdf,traditional,yes,no
8097,K181130,"medical glove, specialty",k181130,"powder free blue nitrile examination gloves, tested for use with chemotherapy drugs",shaozhang  nan,shaozhang  nan,ray  wang,880.6250,lzc,04/30/2018,08/10/2018,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181130.pdf,traditional,no,no
8098,K211684,"system, imaging, gastrointestinal, wireless, capsule",k211684,"pillcam sb 3 capsule endoscopy system, pillcam software 9.0e",efrat  shamgar,efrat  shamgar,randy j. prebula,876.1300,nez,06/01/2021,08/27/2021,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211684.pdf,traditional,no,no
8099,K200556,"catheter, retention type, balloon",k200556,aquaflate pre-filled sterile water syringe 10ml,colby  wiesman,colby  wiesman,prithul  bom,876.5130,ezl,03/03/2020,03/31/2020,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k200556.pdf,traditional,yes,no
8100,K223920,"system, imaging, pulsed doppler, ultrasonic",k223920,"vinno g50, vinno g55, vinno m50, vinno e30, vinno x5, vinno x6, vinno x7, vinno m55, vinno e35, vinno x65, vinno x55, vinno x35, vinno g55e, vinno g55p, vinno m55e, vinno m55p, vinno e35e, vinno e35p",cordelia  liu,cordelia  liu,cordelia  liu,892.1550,iyn,12/29/2022,06/17/2023,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k223920.pdf,traditional,no,no
8101,K190569,"powder, porcelain",k190569,shaders zr,tim  mckimson,tim  mckimson,tim  mckimson,872.6660,eih,03/06/2019,07/29/2019,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190569.pdf,traditional,no,no
8102,K202914,"plate, fixation, bone",k202914,sternafuse fixation system,mark  schumacher,mark  schumacher,katelyn  jessup,888.3030,hrs,09/29/2020,01/26/2022,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202914.pdf,traditional,no,no
8103,K223533,"stroller, adaptive",k223533,little wave arc; little wave flip,mark  murphy,mark  murphy,mark  murphy,890.3850,lbe,11/23/2022,08/31/2023,substantially equivalent     (sese),physical medicine,physical medicine,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k223533.pdf,traditional,no,no
8104,K183315,"mouthguard, over-the-counter",k183315,custmbite dental guard,ron  story,ron  story,e.j.  smith,,obr,11/30/2018,08/23/2019,substantially equivalent     (sese),,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k183315.pdf,traditional,no,no
8105,K231464,"aligner, sequential",k231464,"3m™ clarity™ aligners (3m™ clarity™ aligners-force, 3m™ clarity™ aligners-flex)",brittany  randolph,brittany  randolph,prithul  bom,872.5470,nxc,05/19/2023,05/22/2023,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k231464.pdf,traditional,yes,no
8106,K222894,"aligner, sequential",k222894,"invisalign system, pre-formed attachment system",manjunath  bisalehalli,manjunath  bisalehalli,john  ray,872.5470,nxc,09/23/2022,12/22/2022,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222894.pdf,traditional,no,no
8107,K201140,"x-ray, tomography, computed, dental",k201140,axeos,karl j. nittinger,karl j. nittinger,karl j. nittinger,892.1750,oas,04/29/2020,06/22/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k201140.pdf,traditional,no,no
8108,K223151,"stimulator, nerve, transcutaneous, over-the-counter",k223151,nu-beca transcutaneous electrical nerve stimulation,david  tsai,david  tsai,diana  sung,882.5890,nuh,10/05/2022,07/19/2023,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k223151.pdf,traditional,no,no
8109,K221374,latex patient examination glove,k221374,disposable medical rubber examination gloves (xs/s/m/l/xl),chai  wu,chai  wu,ray  wang,880.6250,lyy,05/12/2022,10/26/2022,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221374.pdf,traditional,no,no
8110,K202764,"plate, fixation, bone",k202764,ortho solutions plating system,andy  leither,andy  leither,andy  leither,888.3030,hrs,09/21/2020,11/20/2020,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202764.pdf,traditional,no,no
8111,K222164,"plug, punctum",k222164,visant medical canalicular plug,vartan  ghazarossian,vartan  ghazarossian,lee  kramm,,lzu,07/21/2022,12/23/2022,substantially equivalent     (sese),,ophthalmic,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222164.pdf,traditional,no,no
8112,K173581,"catheters, transluminal coronary angioplasty, percutaneous",k173581,gallant ptca dilatation catheter,marina tikhonov  demishtein,marina tikhonov  demishtein,h. semih  oktay,870.5100,lox,11/20/2017,01/25/2018,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173581.pdf,traditional,no,no
8113,K173944,"lens, contact, polymethylmethacrylate, diagnostic",k173944,endocular viewing lenses and silicone ring,j. d. webb,j. d. webb,j. d. webb,886.1385,hjk,12/26/2017,10/25/2018,substantially equivalent     (sese),ophthalmic,ophthalmic,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173944.pdf,traditional,no,no
8114,K173077,"intervertebral fusion device with integrated fixation, cervical",k173077,cavetto-sa cervical cage system,kathleen  wong,kathleen  wong,kenneth c. maxwell ii,888.3080,ove,09/29/2017,02/23/2018,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173077.pdf,traditional,no,no
8115,K190333,"fastener, fixation, nondegradable, soft tissue",k190333,"paradigm all-suture anchor 1.8mm, white/black #2",orjada  dervishleri,orjada  dervishleri,orjada  dervishleri,888.3040,mbi,02/14/2019,03/18/2019,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190333.pdf,special,no,no
8116,K210417,"sleeve, limb, compressible",k210417,"sequential circulators sc-1004-dl, sc-1008-dl, sc-2004-dl, sc-2008-dl, sc-4004-dl, sc-4008-dl",marc  somelofski,marc  somelofski,marc  somelofski,870.5800,jow,02/11/2021,05/14/2021,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210417.pdf,traditional,no,no
8117,K220423,"system, x-ray, extraoral source, digital",k220423,papaya & papaya plus,jiyeon  lee,jiyeon  lee,kaitlynn  min,872.1800,muh,02/14/2022,05/19/2022,substantially equivalent     (sese),dental,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220423.pdf,traditional,no,no
8118,K202572,"system, x-ray, stationary",k202572,gxr-series diagnostic x-ray system,ki-nam  yang,ki-nam  yang,carl  alletto,892.1680,kpr,09/04/2020,09/24/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202572.pdf,special,no,no
8119,K173918,"spirometer, therapeutic (incentive)",k173918,versapap positive airway pressure (pap) device,marianne  tanton,marianne  tanton,marianne  tanton,868.5690,bwf,12/22/2017,08/17/2018,substantially equivalent     (sese),anesthesiology,anesthesiology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173918.pdf,traditional,no,no
8120,K170748,"shoulder prosthesis, reverse configuration",k170748,global unite platform shoulder system,carol sandberg ming,carol sandberg ming,kellie  myers,888.3660,phx,03/10/2017,01/11/2018,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k170748.pdf,traditional,no,no
8121,K173054,"system, image processing, radiological",k173054,navigo workstation version 2.0,hadas  sheynise,hadas  sheynise,john  smith,892.2050,llz,09/28/2017,01/16/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173054.pdf,traditional,no,no
8122,K212060,"instrument, ultrasonic surgical",k212060,nexus ultrasonic surgical aspirator system,john  salerno,john  salerno,john  salerno,,lfl,07/01/2021,12/13/2021,substantially equivalent     (sese),,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k212060.pdf,traditional,no,no
8123,K192700,"unit, x-ray, extraoral with timer",k192700,xcam,myoung-joon  lee,myoung-joon  lee,myoung-joon  lee,872.1800,ehd,09/26/2019,12/27/2019,substantially equivalent     (sese),dental,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192700.pdf,traditional,no,no
8124,K213095,endoscope channel accessory,k213095,"andorate suction valve, andorate air/water valve",cindy  ye,cindy  ye,cindy  ye,876.1500,odc,09/24/2021,01/12/2022,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213095.pdf,traditional,no,no
8125,K173677,powered laser surgical instrument,k173677,inmode vlaze,amit  goren,amit  goren,amit  goren,878.4810,gex,11/30/2017,02/23/2018,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173677.pdf,traditional,no,no
8126,K172610,"electrosurgical, cutting & coagulation & accessories",k172610,"thunderbeat 5 mm, 20 cm, front-actuated grip type s, thunderbeat 5 mm, 35 cm, front-actuated grip type s,  thunderbeat 5 mm, 45 cm, front-actuated grip type s",toshiyuki  nakajima,toshiyuki  nakajima,christina  flores,878.4400,gei,08/31/2017,04/17/2018,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k172610.pdf,traditional,no,no
8127,K182725,"dressing, wound, drug",k182725,apis,kayla  graff,kayla  graff,carolyn  guthrie,,fro,09/28/2018,05/31/2019,substantially equivalent     (sese),,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k182725.pdf,traditional,no,no
8128,K210422,"mask, surgical",k210422,intai surgical mask (non-sterile),dale  chang,dale  chang,kevin  wang,878.4040,fxx,02/11/2021,03/30/2022,substantially equivalent     (sese),general & plastic surgery,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210422.pdf,traditional,no,no
8129,K212710,"shoulder prosthesis, reverse configuration",k212710,global unite™ platform shoulder system,yayoi  fujimaki,yayoi  fujimaki,yayoi  fujimaki,888.3660,phx,08/26/2021,09/15/2021,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k212710.pdf,special,no,no
8130,K193365,thoracolumbosacral pedicle screw system,k193365,m.u.s.t. pedicle screw system,stefano  baj,stefano  baj,chris  lussier,888.3070,nkb,12/04/2019,01/27/2020,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k193365.pdf,traditional,no,no
8131,K211215,"full field digital, system, x-ray, mammographic",k211215,senobright hd,florian  akpakpa,florian  akpakpa,florian  akpakpa,892.1715,mue,04/23/2021,06/22/2021,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211215.pdf,traditional,no,no
8132,K210362,"abutment, implant, dental, endosseous",k210362,s-clean pre-milled abutment,gyu ri kim,gyu ri kim,april  lee,872.3630,nha,02/08/2021,08/19/2021,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210362.pdf,traditional,no,no
8133,K180100,"system, nuclear magnetic resonance imaging",k180100,mriaudio prem system,joe  caruso,joe  caruso,joe  caruso,892.1000,lnh,01/16/2018,06/14/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k180100.pdf,traditional,no,no
8134,K180380,oximeter,k180380,vital signs monitor,alice  yang,alice  yang,doug  worth,870.2700,dqa,02/12/2018,12/21/2018,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k180380.pdf,traditional,no,no
8135,K180784,"wire, guide, catheter",k180784,"asahi ptca guide wire asahi gladius mongo 14, asahi gladius mongo 14 es",yasuyuki  kawahara,yasuyuki  kawahara,candace  cederman,870.1330,dqx,03/26/2018,07/18/2018,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k180784.pdf,traditional,no,no
8136,K220394,interoperable automated glycemic controller,k220394,smartadjust(tm) technology,alexander  hamad,alexander  hamad,alexander  hamad,862.1356,qji,02/11/2022,08/19/2022,substantially equivalent     (sese),clinical chemistry,clinical chemistry,,traditional,no,no
8137,K200873,radiological computer-assisted triage and notification software,k200873,halo,merel  boers,merel  boers,roujuan  zhang,892.2080,qas,04/01/2020,11/20/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k200873.pdf,traditional,no,no
8138,K203461,"electrosurgical, cutting & coagulation & accessories",k203461,aesculap caiman 12 seal and cut technology system,omunique  luke,omunique  luke,omunique  luke,878.4400,gei,11/24/2020,12/18/2020,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k203461.pdf,special,no,no
8139,K202150,"catheter, hemodialysis, implanted",k202150,glidepath 7.5f long-term dialysis catheter,joan  bergstrom,joan  bergstrom,joan  bergstrom,876.5540,msd,08/03/2020,11/18/2020,substantially equivalent - kit     (sesk),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202150.pdf,traditional,no,no
8140,K220910,"system, x-ray, tomography, computed",k220910,medical image processing software,hailong  xu,hailong  xu,ray  wang,892.1750,jak,03/29/2022,08/11/2022,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220910.pdf,traditional,no,no
8141,K182593,"nitroprusside, ketones (urinary, non-quant.)",k182593,ket-1 blood ketone monitoring system,lisa  liu,lisa  liu,lisa  liu,862.1435,jin,09/20/2018,12/18/2018,substantially equivalent     (sese),clinical chemistry,clinical chemistry,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k182593.pdf,traditional,no,no
8142,K221891,negative pressure wound therapy powered suction pump,k221891,uno negative pressure wound therapy system,andrew  goh,andrew  goh,andrew  goh,878.4780,omp,06/29/2022,12/14/2022,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221891.pdf,special,no,no
8143,K210671,"system, measurement, blood-pressure, non-invasive",k210671,"digital blood pressure monitor wbp series, including: wbp101, wbp102, wbp103, wbp104, wbp105, wbp106, wbp107",autumn  liu,autumn  liu,lucy  yan,870.1130,dxn,03/05/2021,08/13/2021,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210671.pdf,traditional,no,no
8144,K211488,"system, imaging, pulsed doppler, ultrasonic",k211488,logiq e10,bryan  behn,bryan  behn,bryan  behn,892.1550,iyn,05/13/2021,09/10/2021,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211488.pdf,traditional,no,no
8145,K213073,latex patient examination glove,k213073,"goody gloves, wincare, tbg gloves",chalongkwan  wongsasuthikul,chalongkwan  wongsasuthikul,manoj  zacharias,880.6250,lyy,09/23/2021,12/29/2021,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213073.pdf,abbreviated,no,no
8146,K230497,automated radiological image processing software,k230497,bladder ai (aibv01),jacqueline  murray,jacqueline  murray,jacqueline  murray,892.2050,qih,02/24/2023,06/22/2023,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k230497.pdf,traditional,no,no
8147,K210825,"stimulator, muscle, powered, for muscle conditioning",k210825,revitive medic coach (model number 5575aq),lawrence  brookfield,lawrence  brookfield,carmelina  allis,890.5850,ngx,03/19/2021,12/17/2021,substantially equivalent     (sese),physical medicine,physical medicine,,traditional,no,no
8148,K181294,powered exoskeleton,k181294,honda walking assist device,kazushi  hamaya,kazushi  hamaya,mark  dipietro,890.3480,phl,05/16/2018,12/14/2018,substantially equivalent     (sese),physical medicine,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181294.pdf,traditional,no,no
8149,K230506,"stimulator, transcutaneous electrical, aesthetic purposes",k230506,purelift pro edition,andrew  barile,andrew  barile,jacqueline  schmainda,882.5890,nfo,02/24/2023,06/21/2023,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k230506.pdf,special,no,no
8150,K190418,"bone fixation cerclage, sublaminar",k190418,nuvasive® versatie® system,joseph  de la rosa,joseph  de la rosa,joseph  de la rosa,888.3010,owi,02/21/2019,03/21/2019,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190418.pdf,special,no,no
8151,K192981,peripheral mechanical thrombectomy with aspiration,k192981,"indigo system aspiration catheter 12, indigo aspiration system separator 12",teri  nguyen,teri  nguyen,teri  nguyen,870.5150,qew,10/24/2019,05/28/2020,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192981.pdf,traditional,no,no
8152,K200742,"display, diagnostic radiology",k200742,jusha-cp610 lcd monitor,zilong  liang,zilong  liang,zilong  liang,892.2050,pgy,03/23/2020,07/24/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k200742.pdf,traditional,no,no
8153,K183657,"system, nuclear magnetic resonance imaging",k183657,"vantage galan 3t, mrt-3020/a9, v5.0",paul  biggins,paul  biggins,janine f. reyes,892.1000,lnh,12/27/2018,03/15/2019,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k183657.pdf,traditional,no,no
8154,K181693,"prosthesis, hip, semi-constrained, metal/ceramic/polymer, cemented or non-porous, uncemented",k181693,sms femoral stem,stefano  baj,stefano  baj,chris  lussier,888.3353,lzo,06/27/2018,11/28/2018,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181693.pdf,traditional,no,no
8155,K191406,"transmitters and receivers, electrocardiograph, telephone",k191406,"kardiamobile, kardiastation",saket  bhatt,saket  bhatt,saket  bhatt,870.2920,dxh,05/28/2019,01/24/2020,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k191406.pdf,traditional,no,no
8156,K211785,sacroiliac joint fixation,k211785,cassatt™ sij fixation system,sean  suh,sean  suh,barry  sands,888.3040,our,06/09/2021,10/17/2022,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211785.pdf,traditional,no,no
8157,K231412,"introducer, catheter",k231412,"carto vizigo® 8.5f bi-directional guiding sheath (d-1385-01-s, d-1385-02-s, d-1385-03-s)",caleb  lau,caleb  lau,caleb  lau,870.1340,dyb,05/16/2023,07/10/2023,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k231412.pdf,special,no,no
8158,K221230,interventional fluoroscopic x-ray system,k221230,tron,mark  mcgarrow,mark  mcgarrow,mark  mcgarrow,892.1650,owb,04/29/2022,07/28/2022,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221230.pdf,traditional,no,no
8159,K202403,condom,k202403,"skore (colors & flavors), skore (colors)",daniel j. s.,daniel j. s.,daniel j. s.,884.5300,his,08/21/2020,04/15/2021,substantially equivalent     (sese),obstetrics/gynecology,obstetrics/gynecology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202403.pdf,traditional,no,no
8160,K211237,"cement, dental",k211237,ultratemp rez ii,shawn l. quigley,shawn l. quigley,adam  black,872.3275,ema,04/26/2021,07/13/2021,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211237.pdf,traditional,no,no
8161,K231672,"bone grafting material, animal source",k231672,s1,woojong  kim,woojong  kim,woojong  kim,872.3930,npm,06/08/2023,10/13/2023,substantially equivalent     (sese),dental,dental,,traditional,no,no
8162,K181604,"material, impression",k181604,"sildent fast light body, sildent fast heavy body, sildent bite",seunghwan  go,seunghwan  go,yang  ho dong,872.3660,elw,06/19/2018,11/28/2018,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181604.pdf,traditional,no,no
8163,K213299,non-normalizing quantitative electroencephalograph software,k213299,wireless eeg system,tuan le mau,tuan le mau,robert  steurer,882.1400,olt,10/01/2021,05/11/2022,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213299.pdf,traditional,no,no
8164,K173320,"plate, bone",k173320,kls martin l1 mmf system,jennifer  damato,jennifer  damato,gary  moore,872.4760,jey,10/20/2017,02/23/2018,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173320.pdf,traditional,no,no
8165,K183410,"sterilizer, steam",k183410,amsco 600 steam sterilizer,anthony  piotrkowski,anthony  piotrkowski,anthony  piotrkowski,880.6880,fle,12/10/2018,03/27/2019,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k183410.pdf,traditional,no,no
8166,K213758,"sterilizer, steam",k213758,lexa plus ris-311,paola  zampino,paola  zampino,angela  blackwell,880.6880,fle,11/30/2021,08/19/2022,substantially equivalent     (sese),general hospital,general hospital,,traditional,no,no
8167,K182298,"system, hemoglobin, automated",k182298,hemochroma plus system,junghee  kim,junghee  kim,junghee  kim,864.5620,gkr,08/24/2018,11/16/2018,substantially equivalent     (sese),hematology,hematology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k182298.pdf,traditional,no,no
